,word,pos,definition
20,Abaca,n.,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
25,Aback,adv.,Toward the back or rear; backward.
26,Aback,adv.,Behind; in the rear.
27,Aback,adv.,Backward against the mast; -- said of the sails when pressed by the wind.
28,Aback,n.,An abacus.
35,Abaci,pl. ,of Abacus
41,Abada,n.,The rhinoceros.
44,Abaft,prep.,"Behind; toward the stern from; as, abaft the wheelhouse."
45,Abaft,adv.,"Toward the stern; aft; as, to go abaft."
54,Aband,v. t.,To abandon.
55,Aband,v. t.,To banish; to expel.
82,Abase,a.,"To lower or depress; to throw or cast down; as, to abase the eye."
83,Abase,a.,"To cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade."
91,Abash,v. t.,"To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
99,Abate,v. t.,To beat down; to overthrow.
100,Abate,v. t.,"To bring down or reduce from a higher to a lower state, number, or degree; to lessen; to diminish; to contract; to moderate; to cut short; as, to abate a demand; to abate pride, zeal, hope."
101,Abate,v. t.,"To deduct; to omit; as, to abate something from a price."
102,Abate,v. t.,To blunt.
103,Abate,v. t.,To reduce in estimation; to deprive.
104,Abate,v. t.,"To bring entirely down or put an end to; to do away with; as, to abate a nuisance, to abate a writ."
105,Abate,v. t.,"To diminish; to reduce. Legacies are liable to be abated entirely or in proportion, upon a deficiency of assets."
106,Abate,v. t.,"To decrease, or become less in strength or violence; as, pain abates, a storm abates."
107,Abate,v. t.,"To be defeated, or come to naught; to fall through; to fail; as, a writ abates."
108,Abate,n.,Abatement.
136,Abbey,n.,"A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings."
137,Abbey,n.,The church of a monastery.
138,Abbot,n.,The superior or head of an abbey.
139,Abbot,n.,One of a class of bishops whose sees were formerly abbeys.
159,A B C,,"The first three letters of the alphabet, used for the whole alphabet."
160,A B C,,A primer for teaching the alphabet and first elements of reading.
161,A B C,,"The simplest rudiments of any subject; as, the A B C of finance."
162,Abdal,n.,A religious devotee or dervish in Persia.
206,Abeam,adv.,"On the beam, that is, on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side."
207,Abear,v. t.,To bear; to behave.
208,Abear,v. t.,To put up with; to endure.
219,Abele,n.,The white poplar (Populus alba).
225,Aberr,v. i.,To wander; to stray.
255,Abhal,n.,The berries of a species of cypress in the East Indies.
260,Abhor,v. t.,To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
261,Abhor,v. t.,To fill with horror or disgust.
262,Abhor,v. t.,To protest against; to reject solemnly.
263,Abhor,v. i.,"To shrink back with horror, disgust, or dislike; to be contrary or averse; -- with"
276,Abode,imp. & p. p.,of Abide
279,Abide,v. i.,To wait; to pause; to delay.
280,Abide,v. i.,"To stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person, and commonly with at or in before a place."
281,Abide,v. i.,To remain stable or fixed in some state or condition; to continue; to remain.
282,Abide,v. t.,"To wait for; to be prepared for; to await; to watch for; as, I abide my time."
283,Abide,v. t.,To endure; to sustain; to submit to.
284,Abide,v. t.,To bear patiently; to tolerate; to put up with.
285,Abide,v. t.,To stand the consequences of; to answer for; to suffer for.
290,Abies,n.,"A genus of coniferous trees, properly called Fir, as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus."
301,Abime,n.,Alt. of Abyme
302,Abyme,n.,A abyss.
361,-able,,"An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as, movable, able to be moved; amendable, able to be amended; blamable, fit to be blamed; salable."
369,Abler,a.,comp. of Able.
370,Abler,a.,superl. of Able.
371,Ablet,,Alt. of Ablen
372,Ablen,,A small fresh-water fish (Leuciscus alburnus); the bleak.
387,-ably,,"A suffix composed of -able and the adverbial suffix -ly; as, favorably."
394,Abnet,n.,The girdle of a Jewish priest or officer.
410,Abode,,pret. of Abide.
411,Abode,n.,Act of waiting; delay.
412,Abode,n.,Stay or continuance in a place; sojourn.
413,Abode,n.,"Place of continuance, or where one dwells; abiding place; residence; a dwelling; a habitation."
414,Abode,v. t.,An omen.
415,Abode,v. t.,To bode; to foreshow.
416,Abode,v. i.,To be ominous.
430,Aboma,n.,A large South American serpent (Boa aboma).
443,Aboon,prep.,and adv. Above.
